ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404580,7,1,1,5,73,-9,13,-1,1,1,1,0,2,22,5,4,
404583,3,3,2,5,20,1,10,10,1,1,1,0,1,28,3,1,5
404585,7,3,4,1,30,-1,11,10,1,2,1,2,1,12,4,1,1
404595,1,0,2,7,27,2,13,-1,1,1,1,0,3,14,5,2,5
404596,5,0,3,7,26,2,13,-1,4,4,0,0,1,16,5,1,5
404597,4,4,1,4,48,-1,12,13,1,1,1,3,2,21,4,3,1
404599,5,3,2,4,48,1,13,90,1,1,1,2,2,23,5,1,3
404602,7,0,1,5,68,-1,14,13,5,1,1,0,3,21,6,1,1
404604,7,5,2,5,29,-1,13,10,1,1,1,4,2,23,5,2,1
404605,7,1,3,6,84,-1,13,10,5,1,1,0,3,18,5,3,1
404609,7,1,4,7,66,-1,14,10,5,1,1,0,3,28,6,1,1
404610,7,4,1,6,71,-1,11,7,5,1,1,0,3,16,4,3,1
404611,5,2,6,4,56,-1,13,10,1,1,1,0,2,23,5,2,1
404612,5,1,3,4,58,-1,13,95,1,1,1,0,2,27,5,1,1
404614,5,5,3,7,34,-1,5,5,1,4,0,4,2,20,1,1,1
404616,1,3,1,3,43,-1,16,13,1,1,0,3,2,27,6,3,1
404618,6,0,4,1,57,-1,11,14,1,1,1,0,2,17,4,1,1
404622,7,0,5,6,36,2,11,-1,1,1,1,0,2,21,4,3,5
404624,7,1,5,4,61,-1,10,9,1,1,1,0,3,23,3,3,1
404627,6,1,4,4,62,-1,9,8,5,1,1,0,2,21,2,3,1
404633,2,2,4,2,49,-1,11,11,1,1,1,0,2,13,4,2,1
404635,5,0,5,1,26,-1,10,10,1,1,0,0,1,2,3,1,1
404636,7,0,3,6,54,2,13,-1,1,1,1,0,3,13,5,2,5
404642,2,3,1,6,31,-1,15,15,1,1,3,2,2,28,6,2,1
404644,7,0,3,6,44,2,10,-1,1,1,1,0,2,21,3,3,3
404645,7,1,3,7,27,2,10,-1,4,7,3,1,4,2,3,1,5
404646,7,0,2,4,73,2,9,-1,5,1,2,0,3,12,2,3,3
404648,7,1,1,4,50,-1,14,95,4,1,4,0,1,-9,6,2,1
404652,7,0,2,7,51,2,9,-1,4,1,1,0,1,2,2,3,5
404657,7,0,4,7,57,2,7,-1,5,1,1,0,1,4,1,1,3
404662,7,0,4,6,78,2,13,-1,5,1,0,0,2,11,5,1,2
404663,7,4,1,6,38,-1,14,14,1,1,2,3,4,19,6,2,1
404664,7,2,2,5,55,-1,13,14,7,1,1,0,3,20,5,3,1
404666,5,2,2,3,53,-1,10,10,1,1,1,1,1,19,3,2,1
404667,1,0,1,7,45,1,9,8,7,1,0,0,1,1,2,3,3
404668,7,3,2,5,40,-1,12,11,1,1,1,2,2,22,4,4,1
404671,5,2,1,2,67,-1,16,13,1,1,1,2,3,25,6,3,1
404672,0,3,4,4,21,2,9,-1,8,1,1,0,1,9,2,2,5
404680,5,3,1,5,41,-1,12,12,1,1,1,1,2,20,4,2,1
404689,7,4,7,3,-9,-1,11,11,1,4,0,2,3,21,4,3,1
404692,4,3,2,6,27,-1,10,14,1,1,1,2,1,14,3,1,1
404694,7,3,2,1,53,-1,10,10,1,1,1,0,2,24,3,2,1
404699,3,4,3,3,30,2,10,-1,7,1,0,4,1,5,3,2,4
404706,7,0,6,3,61,2,9,-1,1,1,0,0,1,7,2,1,2
404710,4,2,1,4,66,-1,9,13,5,1,1,0,3,23,2,2,1
404712,7,0,1,6,35,2,13,-1,1,1,0,0,2,17,5,2,5
404715,7,0,-9,-9,55,2,13,-1,1,4,0,0,2,21,5,1,3
404716,7,4,3,7,52,-1,14,13,1,1,1,2,2,-9,6,1,1
404718,5,2,4,7,26,2,13,-1,1,1,3,0,4,24,5,3,5
404719,7,1,1,4,70,-1,13,12,5,1,3,0,3,24,5,2,1
404721,7,6,6,1,27,1,9,7,4,1,4,2,1,1,2,2,5
404723,3,3,1,7,80,-1,13,12,1,4,0,1,2,21,5,1,1
404724,5,3,1,6,39,-1,13,13,1,4,0,2,2,26,5,3,1
